id,accel_body,magnet_body,gyros_upper_limb,accel_upper_limb,magnet_upper_limb,gyros_body,gyros_lower_limb,accel_lower_limb,magnet_lower_limb,Category
0,-109.99394491748316,,4.170488752859565e-06,1311.7142575794815,very_fast,very_slow,on,on,off,0
1,79.96724561092059,23.64252468642395,93.49680920193829,-641.7510549513083,very_slow,very_slow,off,on,on,1
2,-310.9951709295529,12.378886805715506,0.02165989640168502,-45.945921807803465,very_fast,slow,on,off,on,0
3,-246.6944751552616,5.037199133265768,322.1115885442385,-412.6555543137574,very_fast,very_slow,off,off,off,1
4,21.75131312190865,21.25648253238758,0.005548748316830779,-148.20522746594753,fast,very_slow,off,on,on,0
5,-159.52149743930866,32.108159035861,0.6863907759447473,-782.608156000436,medium,very_slow,off,on,on,0
6,-342.70257365962163,20.96313529881468,76.30372952839694,1445.7480584160187,medium,very_slow,off,on,off,1
7,-25.07402054687854,5.346989570602134,780.2790363068814,274.0198011471647,very_slow,medium,on,off,on,4
8,-315.2850752571539,16.502935626091404,73.30118075170282,-661.2317300757394,fast,very_slow,off,on,on,0
9,-155.42960339417294,20.344949373771907,22.649352837753558,537.3357505856491,medium,slow,off,off,on,3
10,-471.61636212163336,,109.93213152493612,294.94728393606783,very_slow,very_slow,off,on,on,1
11,-473.02007211156507,,8.029516896085623e-06,211.38453511644195,very_fast,very_slow,on,on,on,0
12,301.998712893182,18.996594655724746,235.985912255878,196.84687299302917,fast,slow,off,on,on,3
13,-86.03199311267551,28.973696884834446,0.11954674939338053,-121.75876414579399,very_slow,very_fast,on,on,on,4
14,36.35536798562862,,0.0015537682252992346,-254.0385161461142,very_fast,very_slow,on,on,on,0
15,-36.665202441243245,,63.51170705638039,-591.2750414358884,slow,very_slow,on,on,on,0
16,-167.45162921399358,18.59164403368045,70.07552720979014,-380.51237032665637,very_fast,very_slow,off,on,on,1
17,192.8287698647224,7.709783850640335,43.582233357058726,298.25316951690286,very_fast,very_slow,off,on,on,1
18,-241.2675966083728,11.314357561176154,140.1605518207477,-1045.360516569613,fast,very_slow,off,on,off,1
19,-279.31802745579046,14.047867064027797,503.65425264302667,1169.2480982996994,fast,slow,off,on,on,1
20,-188.3253661580296,26.746234224656234,6.024747472922794,1106.3277590633988,very_fast,slow,off,off,off,0
21,99.86126995609744,2.1903264612125533,277.57110396439947,-1306.120373714639,fast,slow,off,off,off,4
22,66.43048139395489,10.297027476683343,0.02481984681651673,243.62377650236027,very_fast,medium,off,off,on,0
23,143.05568286903753,13.146988668416526,2469.2552918435354,-1351.9363762473338,slow,medium,off,off,on,4
24,55.66112203089635,8.320233074621969,296.51208182144325,-126.4658777899118,medium,slow,off,off,off,3
25,-115.80682573921335,15.873610964425449,1.2859415148097837,-781.5225549660338,very_fast,slow,on,off,off,0
26,-132.63071666231764,17.40854726627892,0.013021403378185638,649.9390769700152,very_fast,slow,off,off,off,4
27,-13.097206201666337,11.44446090565235,2476.436553130661,-479.23989369593545,very_slow,medium,off,on,on,4
28,218.4099798613265,,0.0002624874461519912,191.27997984364774,very_fast,very_slow,off,off,on,0
29,-464.49680918831115,28.62681158627624,0.23953667442063065,888.7373450126403,very_fast,very_slow,off,on,on,0
30,-151.65074183712272,26.64291674664332,2.6947142917142415,447.3691588238254,very_fast,very_slow,on,on,off,2
31,-149.03718354799403,18.274023543959828,24.103626138284174,180.01728414792208,fast,very_slow,on,off,on,1
32,176.41469690155392,18.74358088885643,4.282858098589188e-12,-17.196376001856862,very_fast,medium,off,off,on,0
33,-54.39477475825686,,545.2272327535147,-292.17821555185327,slow,slow,on,off,off,3
34,-455.6190154301407,5.811655794403663,4.67395051105961,223.89556783177463,very_slow,slow,on,off,on,3
35,-516.264543148667,25.439994543361568,271.4106124295484,75.02587228373994,slow,very_slow,off,on,off,1
36,403.7933243261747,19.906980110526984,420.8814610549875,166.31963666657077,fast,very_slow,on,off,off,4
37,-391.3036059861532,,311.59864203100534,150.14356810908413,medium,medium,off,off,off,4
38,-74.17831668185718,5.390071674232246,0.0014914466831859948,822.4633517844284,very_fast,very_slow,off,off,off,0
39,-47.33829077261724,16.089521521960172,134.43250293175967,413.01673372518735,fast,very_slow,off,on,off,1
40,-30.43263455630657,21.136444949157312,568.6608834881563,-121.07919068796036,very_slow,very_slow,on,on,on,4
41,-90.58001931630207,15.528940636214335,0.11893402457413885,479.3875058384674,very_fast,slow,on,off,on,4
42,405.1885518799694,,20.32389950373391,564.264937574532,very_slow,very_slow,off,on,on,1
43,-355.87928042652527,24.745607992717858,0.1113299755856554,1053.0629581030994,very_fast,very_slow,off,on,off,0
44,-11.909738975308453,24.913951073194728,661.0102702570657,-629.0162858096048,very_slow,medium,off,off,off,4
